0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
256	inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.12310562562
64	inf	NaN	NaN	NaN	NaN	NaN	NaN	2.2360679775	NaN	NaN
128	inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.16227766017	NaN
1	inf	1.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	inf	NaN	NaN	NaN	NaN	NaN	1.41421356237	NaN	NaN	NaN
2	inf	NaN	2.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	inf	NaN	NaN	NaN	NaN	1.0	NaN	NaN	NaN	NaN
8	inf	NaN	NaN	NaN	4.0	NaN	NaN	NaN	NaN	NaN
4	inf	NaN	NaN	3.0	NaN	NaN	NaN	NaN	NaN	NaN
3	inf	3.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	inf	5.0	NaN	3.0	NaN	NaN	NaN	NaN	NaN	NaN
6	inf	NaN	4.0	3.0	NaN	NaN	NaN	NaN	NaN	NaN
9	inf	7.0	NaN	NaN	4.0	NaN	NaN	NaN	NaN	NaN
10	inf	NaN	6.0	NaN	4.0	NaN	NaN	NaN	NaN	NaN
12	inf	NaN	NaN	5.0	4.0	NaN	NaN	NaN	NaN	NaN
17	inf	2.41421356237	NaN	NaN	NaN	2.41421356237	NaN	NaN	NaN	NaN
18	inf	NaN	3.2360679775	NaN	NaN	4.2360679775	NaN	NaN	NaN	NaN
20	inf	NaN	NaN	4.16227766017	NaN	6.16227766017	NaN	NaN	NaN	NaN
24	inf	NaN	NaN	NaN	5.12310562562	8.12310562562	NaN	NaN	NaN	NaN
33	inf	2.41421356237	NaN	NaN	NaN	NaN	2.0	NaN	NaN	NaN
34	inf	NaN	2.82842712474	NaN	NaN	NaN	3.41421356237	NaN	NaN	NaN
36	inf	NaN	NaN	3.65028153987	NaN	NaN	5.2360679775	NaN	NaN	NaN
40	inf	NaN	NaN	NaN	4.57649122254	NaN	7.16227766017	NaN	NaN	NaN
48	inf	NaN	NaN	NaN	NaN	2.41421356237	2.0	NaN	NaN	NaN
65	inf	3.65028153987	NaN	NaN	NaN	NaN	NaN	2.41421356237	NaN	NaN
